filename,region,year,party,language,line,num_words
AND_1990_IU_es.pdf,AND,1990,IU,es,Programa de Gobierno para ANDALUCÍA Comisiones Obreras de Andalucía Programa de Gobierno para Andalucía Izquierda Unida - Convocatoria por Andalucía Comisiones Obreras de Andalucía DESDE su nacimiento en .,29
AND_1990_IU_es.pdf,AND,1990,IU,es,", Convocatoria por Andalucía, hizo de la elaboración colectiva uno de los elementos claves de un hacer política.",18
AND_1990_IU_es.pdf,AND,1990,IU,es,"Fue en el marco de las elecciones autonómicas del , cuando, bajo la denominación de Izquierda Unida Convocatoria por Andalucía, se puso a prueba tanto la elaboración colectiva como una concreción programática.",32
AND_1990_IU_es.pdf,AND,1990,IU,es,"Los resultados de aquellas elecciones mostraron, que junto a los nombres, el camino elegido había sido bueno.",17
AND_1990_IU_es.pdf,AND,1990,IU,es,"Aquel programa, aquel método, ha estado en la base del trabajo programático de estos últimos cuatro años.",17
AND_1990_IU_es.pdf,AND,1990,IU,es,Cientos de iniciativas parlamentarias enmiendas y procedimientos de control avalan el trabajo de un colectivo.,15
AND_1990_IU_es.pdf,AND,1990,IU,es,"En la recta final de estas elecciones autonómicas del , IU-CA incorpora un nuevo elemento en el proceso de consolidación de la alternativa en Andalucía.",25
AND_1990_IU_es.pdf,AND,1990,IU,es,"Si en el fue la incorporación de la ELABORACIÓN COLECTIVA, como una seña de la única izquierda posible; y en el , se concretizó la OTRA POLÍTICA, en el se plantea OTRA FORMA DE GOBERNAR, otra forma de hacer política.",40
AND_1990_IU_es.pdf,AND,1990,IU,es,"Hemos estado en la política andaluza con voluntad de gobierno, hemos salido en estas elecciones con ánimo de ganar.",19
AND_1990_IU_es.pdf,AND,1990,IU,es,"Por eso, nuestro compromiso con la sociedad andaluza no puede ser más ambicioso: si los andaluces depositan en nosotros su confianza el compromiso ético de IU-CA se hará en la identificación entre lo dicho y lo hecho, entre las promesas y nuestras acciones de gobierno, rompiendo con un viejo maleficio de las trampas electorales: las promesas incumplidas.",57
AND_1990_IU_es.pdf,AND,1990,IU,es,"Por eso hemos querido hacer un programa leal, legítimo y realizable, alejado del populismo y de los brindis al sol.",20
AND_1990_IU_es.pdf,AND,1990,IU,es,"En resumen, un programa de gobierno desde la izquierda andaluza: IZQUIERDA UNIDA CONVOCATORIA POR ANDALUCÍA.",15
AND_1990_IU_es.pdf,AND,1990,IU,es,Depósito Legal: M. Composición y diseño: Mazorca Portada: Picasso: Retrato de muchacha.,12
AND_1990_IU_es.pdf,AND,1990,IU,es,Verano Comisiones Obreras de Andalucía ESDE el poder amable de la razón lo hemos propagado a los cuatro vientos: a Andalucía se le intenta escamotear el poder político que supo ganar hace diez años.,34
AND_1990_IU_es.pdf,AND,1990,IU,es,conquistamos un Estatuto de máximas competencias.,6
AND_1990_IU_es.pdf,AND,1990,IU,es,El nuevo impulso andaluz rompía un proyecto inarmónico que pretendía confederar las nacionalidades históricas y regionalizar el resto de las autonomías.,21
AND_1990_IU_es.pdf,AND,1990,IU,es,"Aquella conquista del -F inauguraba, sin duda, la posibilidad de un futuro diferente.",13
AND_1990_IU_es.pdf,AND,1990,IU,es,"Andalucía podía aspirar a otro papel en el seno del Estado, podía responder, y no desde el llanto, sino ejerciendo las competencias que le asignaba el Estatuto y que propulsaba con energía histórica la forma masiva y popular que conquistó.",40
AND_1990_IU_es.pdf,AND,1990,IU,es,"Ante aquella situación, jubilosamente nueva, la España eterna pudo pensar algo parecido a que un andaluz está bien, sobre todo para la guasa, pero que un andaluz con poder no es aconsejable, no lo ha sido nunca para el estado centralista.",41
AND_1990_IU_es.pdf,AND,1990,IU,es,Conquistamos este poder en .,5
AND_1990_IU_es.pdf,AND,1990,IU,es,", aunque el PSOE, por ahora, se ha encargado de desactivarlo, dirigiendo las acciones de gobierno en sentido contrario al impulso que movilizó el -F a millones de andaluzas y andaluces.",31
AND_1990_IU_es.pdf,AND,1990,IU,es,Supimos unirnos y vencer.,4
AND_1990_IU_es.pdf,AND,1990,IU,es,Y ese poder terminará expresándose en el ejercicio pleno a fin de transformar las actuales estructuras ancladas en la dependencia y el subdesarrollo.,23
AND_1990_IU_es.pdf,AND,1990,IU,es,"A pesar de la estrategia centralista del PSOE, a pesar de las lisonjas paternalistas de sus máximos dirigentes, a pesar de esa dialéctica del tri- Comisiones Obreras de Andalucía IZQUIERDA UNIDA - CONVOCATORIA POR ANDALUCÍA lero que siempre nos ofrece un cascarón vacío, nadie ha logrado desmontar esa inmensa alianza de la dignidad y la justicia del -F de .",60
AND_1990_IU_es.pdf,AND,1990,IU,es,Entonces Andalucía supo ponerse en pie.,6
AND_1990_IU_es.pdf,AND,1990,IU,es,Ahora tiene que empezar a caminar en la dirección adecuada.,10
AND_1990_IU_es.pdf,AND,1990,IU,es,Y para iniciar este camino ofrecemos un programa cuyas soluciones concretas se han enfocado desde la pregunta: qué haría al día siguiente de empezar a gobernar.,26
AND_1990_IU_es.pdf,AND,1990,IU,es,"Y ofrecemos una voluntad firme de alternativa frente al vacío político y al desgobierno, frente a la dinámica injusta de una política que está agudizando las desigualdades sociales y territoriales.",30
AND_1990_IU_es.pdf,AND,1990,IU,es,"E igualmente hablamos de un instrumento social y político nuevo, adecuado al horizonte original que anuncia el siglo XXI.",19
AND_1990_IU_es.pdf,AND,1990,IU,es,Hablamos de esa fuerza serena y múltiple que es IU-CA.,10
AND_1990_IU_es.pdf,AND,1990,IU,es,"IU se define como un movimiento político y social con un objetivo estratégico nítidamente expresado: Hacia una sociedad de pleno empleo, en democracia plena y con respeto a la naturaleza.",30
AND_1990_IU_es.pdf,AND,1990,IU,es,"Entender la nueva formación como un movimiento político y social, implica la consideración de la pluralidad como eje organizador.",19
AND_1990_IU_es.pdf,AND,1990,IU,es,"IU, por su propia y original naturaleza, renuncia a absorber, a reducir.",12
AND_1990_IU_es.pdf,AND,1990,IU,es,Las distintas fuerza y personas que convergen en IU tienen además razones propias para no renegar de sí mismas o para afiliarse de forma clásica.,25
AND_1990_IU_es.pdf,AND,1990,IU,es,"Hablamos de nuevas formas de unidad y de participación, de nuevas formas de organicidad y de formación de la opinión.",20
AND_1990_IU_es.pdf,AND,1990,IU,es,"Una nueva organicidad policéntrica, que sustituye la disciplina clásica por la unidad dinámica de lo diverso en torno a un programa.",21
AND_1990_IU_es.pdf,AND,1990,IU,es,Hablamos de situarnos en la diversidad y en el debate permanente como condición de posibilidades de una alianza cada vez más amplia.,22
AND_1990_IU_es.pdf,AND,1990,IU,es,Sólo así podremos construir IU-CA como un movimiento político y social.,11
AND_1990_IU_es.pdf,AND,1990,IU,es,"Sólo así, junto a partidos y movimientos sociales, podremos agrupar a esa izquierda sumergida y diseminada que vive su compromiso ético y político de manera fronteriza y transversal.",28
